ID,Prediction
1,0.857352681754
2,0.753776933116
3,0.933862178386
4,0.446029427104
5,0.855647121572
6,0.862327211907
7,0.765972228855
8,0.907978280911
9,0.862318055121
10,0.881138610487
11,0.979681476493
12,0.967886233405
13,0.835291846
14,0.97757314986
15,0.98931770241
16,0.511129817566
17,0.978487691039
18,0.268293822642
19,0.179081659578
20,0.152545479826
21,0.447348918011
22,0.978006758484
23,0.928875117079
24,0.197017643586
25,0.769901093311
26,0.98561706898
27,0.605854127853
28,0.973956033533
29,0.986414306985
30,0.985029148405
31,0.774001337245
32,0.934547385219
33,0.983451737932
34,0.992927976323
35,0.975834432677
36,0.939144591607
37,0.0838716632398
38,0.255319585098
39,0.933396630554
40,0.729558054672
41,0.940158254462
42,0.742307141798
43,0.203856505857
44,0.970450786007
45,0.462079033222
46,0.908530683288
47,0.96357981059
48,0.989003562425
49,0.983252469163
50,0.920028324622
51,0.979733522092
52,0.240199478481
53,0.975924537639
54,0.939222677015
55,0.996888290555
56,0.643888534883
57,0.863885887528
58,0.727909555899
59,0.979796961015
60,0.630099773665
61,0.682523474323
62,0.62216732447
63,0.964233585684
64,0.912785005513
65,0.980762070891
66,0.96267617719
67,0.973035356489
68,0.942908069967
69,0.756657504139
70,0.391277877039
71,0.131955993736
72,0.397881060087
73,0.975931976787
74,0.966136028856
75,0.399784455083
76,0.23822938768
77,0.937730057346
78,0.754388754086
79,0.948194218215
80,0.960654397047
81,0.601590306045
82,0.346358170459
83,0.17672751333
84,0.94992081096
85,0.992517738725
86,0.246782858011
87,0.919042534067
88,0.941346611167
89,0.982556494331
90,0.429943243109
91,0.967834991669
92,0.856316801996
93,0.931003284422
94,0.948359557478
95,0.773943835797
96,0.755212305152
97,0.500276635308
98,0.108616243357
99,0.92369007307
100,0.869843679927
101,0.962666259297
102,0.955702796737
103,0.963043042824
104,0.188042727376
105,0.870494526092
106,0.973283269121
107,0.294076472836
108,0.982246497524
109,0.98832199422
110,0.9412708797
111,0.980158987307
112,0.984703660864
113,0.955866108295
114,0.528564805033
115,0.787598989909
116,0.932877865239
117,0.273523676676
118,0.790128702444
119,0.976260476388
120,0.969734559628
121,0.976646752641
122,0.977201951801
123,0.992651980608
124,0.99282654745
125,0.906888317762
126,0.98940571528
127,0.987948495061
128,0.923230736662
129,0.9757236365
130,0.101330101467
131,0.964364864385
132,0.941942599815
133,0.994722391288
134,0.985955328846
135,0.966399117758
136,0.944264595172
137,0.87813010172
138,0.12815271256
